t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784827440229,9,A,A3,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784827598447,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=86;outcome=correct_reject;rt_ms=516
1784827598452,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=87;kind=go;shape=diamond
1784827600259,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=87;outcome=hit;rt_ms=522
1784827600265,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=88;kind=nogo;shape=triangle
1784827602096,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=88;outcome=correct_reject;rt_ms=502
1784827602101,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=89;kind=nogo;shape=circle
1784827603926,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=89;outcome=correct_reject;rt_ms=500
1784827603931,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=90;kind=nogo;shape=diamond
1784827605743,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=90;outcome=correct_reject;rt_ms=527
1784827605748,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=91;kind=go;shape=diamond
1784827607559,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=91;outcome=hit;rt_ms=431
1784827607564,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=92;kind=nogo;shape=square
1784827609394,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=92;outcome=correct_reject;rt_ms=455
1784827609400,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=93;kind=nogo;shape=circle
1784827611220,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=93;outcome=correct_reject;rt_ms=423
1784827611227,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=94;kind=nogo;shape=diamond
1784827613027,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=94;outcome=correct_reject;rt_ms=425
1784827613033,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=95;kind=nogo;shape=triangle
1784827614861,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=95;outcome=correct_reject;rt_ms=480
1784827614867,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=96;kind=nogo;shape=square
1784827616679,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=96;outcome=correct_reject;rt_ms=443
1784827616685,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=97;kind=nogo;shape=diamond
1784827618492,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=97;outcome=correct_reject;rt_ms=438
1784827618498,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=98;kind=nogo;shape=circle
1784827620316,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=98;outcome=correct_reject;rt_ms=496
1784827620321,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=99;kind=go;shape=circle
1784827622126,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=99;outcome=hit;rt_ms=430
1784827622131,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=100;kind=nogo;shape=square
1784827623953,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=100;outcome=correct_reject;rt_ms=495
1784827623957,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=101;kind=go;shape=square
1784827625759,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=101;outcome=hit;rt_ms=470
1784827625765,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=102;kind=nogo;shape=circle
1784827627595,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=102;outcome=correct_reject;rt_ms=492
1784827627601,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=103;kind=nogo;shape=square
1784827629426,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=103;outcome=correct_reject;rt_ms=634
1784827629432,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=104;kind=nogo;shape=circle
1784827631250,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=104;outcome=correct_reject;rt_ms=552
1784827631255,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=105;kind=go;shape=circle
1784827633059,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=105;outcome=hit;rt_ms=642
1784827633064,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=106;kind=nogo;shape=diamond
